CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,5 Years,104.329748,4.497433,21.590601
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,10 Years,104.717554,8.025864,73.801587
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,20 Years,101.072347,12.708919,211.536314
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,30 Years,101.898886,15.688504,356.686219
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,5 Years,104.328424,4.497452,21.590718
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,30 Years,101.942302,15.692377,356.814055
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,5 Years,104.328424,4.497452,21.590718
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,30 Years,101.905549,15.687215,356.618127
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,5 Years,104.328424,4.497452,21.590718
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,30 Years,101.942019,15.692338,356.812551
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.328424,4.497452,21.590718
